category,min,max,median
Anac,1031.0,102816.0,1352.0
Audio,1065.0,1912860.0,17010.0
Autodrivers,117848.0,117848.0,117848.0
Chess,1084.0,59108.0,5311.0
Education,1026.0,393360.0,6933.0
Finance,1136.0,450524.0,10454.5
Games,1393.0,185784.0,5064.0
Graphics,1168.0,385036.0,18769.0
Ide,1457.0,401897.0,32486.0
Mobile,1210.0,129366.0,4658.0
Robcup-Other-Leagues,15335.0,793966.0,54895.0
Robo-Projects,3131.0,64028.0,10587.5
Robocup-2D,1010.0,153661.0,23495.0
Robot-Simulation,1427.0,331319.0,14128.0
Security,1214.0,164228.0,10341.0
