,index,variable,value
344,analizo_nom_quantile_upper,results_S,-0.48320497971349025
209,analizo_acc_quantile_upper,results_S,-0.4827765225256236
1530,analizo_noa_mode,results_win_rate,-0.466851080021662
321,analizo_noa_quantile_median,results_S,-0.46140149815096265
317,analizo_noa_mean,results_S,-0.45839775578774067
337,analizo_nom_mean,results_S,-0.45667827380963355
367,analizo_npm_quantile_upper,results_S,-0.45598721754197313
381,analizo_rfc_standard_deviation,results_S,-0.45372618521850955
346,analizo_nom_standard_deviation,results_S,-0.4535156776820461
1152,analizo_nom_quantile_upper,results_win,-0.4531231669632564
373,analizo_rfc_mean,results_S,-0.4507080226479619
369,analizo_npm_standard_deviation,results_S,-0.4455025397292453
360,analizo_npm_mean,results_S,-0.44261802388283683
378,analizo_rfc_quantile_ninety_five,results_S,-0.4406706325274401
1189,analizo_rfc_standard_deviation,results_win,-0.42427980204314036
371,analizo_npm_variance,results_S,-0.4218477791221847
1154,analizo_nom_standard_deviation,results_win,-0.42022902689043673
348,analizo_nom_variance,results_S,-0.41941904305603517
1145,analizo_nom_mean,results_win,-0.41594479561317366
325,analizo_noa_standard_deviation,results_S,-0.4154531935933465
323,analizo_noa_quantile_upper,results_S,-0.41531953020751416
322,analizo_noa_quantile_ninety_five,results_S,-0.41323039659003846
1126,analizo_noa_mode,results_win,-0.4115107259006234
1191,analizo_rfc_variance,results_win,-0.4099648935989417
383,analizo_rfc_variance,results_S,-0.4085801586506744
1175,analizo_npm_quantile_upper,results_win,-0.4085738895258477
1129,analizo_noa_quantile_median,results_win,-0.4083524100623258
1177,analizo_npm_standard_deviation,results_win,-0.4065315490916477
1156,analizo_nom_variance,results_win,-0.4047795911060824
1179,analizo_npm_variance,results_win,-0.4041959260035632
1168,analizo_npm_mean,results_win,-0.39885888726476565
1181,analizo_rfc_mean,results_win,-0.39742161257426384
1328,analizo_noa_mode,results_win_diff,-0.3959451111949729
1454,analizo_anpm_quantile_lower,results_win_rate,-0.3956717925248494
341,analizo_nom_quantile_median,results_S,-0.39465977897356835
379,analizo_rfc_quantile_upper,results_S,-0.3946318390489325
1186,analizo_rfc_quantile_ninety_five,results_win,-0.39363162173736277
1364,analizo_npa_quantile_upper,results_win_diff,-0.39291149541678855
354,analizo_npa_quantile_upper,results_S,-0.39244680571543644
364,analizo_npm_quantile_median,results_S,-0.39061482581023765
273,analizo_dit_skewness,results_S,-0.3840529931028532
1125,analizo_noa_mean,results_win,-0.38342172798542046
389,analizo_sc_quantile_ninety_five,results_S,-0.3830463967086434
1151,analizo_nom_quantile_ninety_five,results_win,-0.37736375881788853
343,analizo_nom_quantile_ninety_five,results_S,-0.3770746462878608
327,analizo_noa_variance,results_S,-0.3768012002779453
1162,analizo_npa_quantile_upper,results_win,-0.37662170244848164
1275,analizo_dit_kurtosis,results_win_diff,-0.3755691894942508
366,analizo_npm_quantile_ninety_five,results_S,-0.37542152013386343
1174,analizo_npm_quantile_ninety_five,results_win,-0.3724598000148029
374,analizo_rfc_quantile_lower,results_S,-0.37217852921629113
1017,analizo_acc_quantile_upper,results_win,-0.3720850014075591
1063,analizo_cbo_quantile_lower,results_win,-0.37096620331115765
1595,analizo_rfc_variance,results_win_rate,-0.3700285241295555
1252,analizo_anpm_quantile_lower,results_win_diff,-0.3699365405058055
258,analizo_cbo_quantile_ninety_five,results_S,-0.369441121022304
274,analizo_dit_standard_deviation,results_S,-0.36583889011875514
264,analizo_change_cost,results_S,-0.36520069209508277
253,analizo_cbo_mean,results_S,-0.3644794115737682
1197,analizo_sc_quantile_ninety_five,results_win,-0.3640102936697905
376,analizo_rfc_quantile_median,results_S,-0.36288416230727805
319,analizo_noa_quantile_lower,results_S,-0.36223033943056193
971,analizo_npm_quantile_min,results_tie,-0.36153735580475177
1593,analizo_rfc_standard_deviation,results_win_rate,-0.3614386973807849
269,analizo_dit_quantile_max,results_S,-0.3612122679918587
592,analizo_sc_quantile_upper,results_R,-0.3568525111379485
1110,analizo_loc_variance,results_win,-0.35582146570614565
385,analizo_sc_mean,results_S,-0.35498262185397245
1555,analizo_nom_quantile_ninety_five,results_win_rate,-0.35379423383879527
758,analizo_npa_quantile_upper,results_games,-0.3537832597622288
339,analizo_nom_quantile_lower,results_S,-0.3533681994376547
1130,analizo_noa_quantile_ninety_five,results_win,-0.35325052306276
261,analizo_cbo_standard_deviation,results_S,-0.3530964475309594
1514,analizo_loc_variance,results_win_rate,-0.35163782902521645
2210,analizo_sc_standard_deviation,results_rank,0.35238942940699897
974,analizo_npm_skewness,results_tie,0.35433020351987987
829,analizo_accm_skewness,results_tie,0.355524686063229
456,analizo_cbo_mode,results_R,0.36043014881506064
1881,analizo_dit_kurtosis,results_loss_rate,0.36195793667384657
983,analizo_rfc_quantile_min,results_tie,0.36766510562703747
945,analizo_nom_quantile_lower,results_tie,0.36831965221972646
965,analizo_npm_kurtosis,results_tie,0.3713762314761377
967,analizo_npm_mode,results_tie,0.3819963953427417
841,analizo_amloc_skewness,results_tie,0.4043689295313542
52,analizo_cbo_mode,results_loss,0.41671257079681334
820,analizo_accm_kurtosis,results_tie,0.41859827493869856
833,analizo_amloc_kurtosis,results_tie,0.4259025470081453
1970,analizo_npa_quantile_upper,results_loss_rate,0.439914260943116
1855,analizo_anpm_kurtosis,results_loss_rate,0.45227738510281434
